Document No.,Amount
OPENSA_0001_1,-170655.72
OPENSA_0002_1,607559.4
OPENSA_0003_1,7546.74
OPENSA_0004_1,67712.7
OPENSA_0005_1,4302.0
OPENSA_0006_1,4320.0
OPENSA_0007_1,157827.6
OPENSA_0008_1,65275.2
OPENSA_0009_1,10557.0
OPENSA_0010_1,17413.2
OPENSA_0011_1,58698.0
OPENSA_0012_1,42949.8
OPENSA_0013_1,49532.4
OPENSA_0014_1,8434.8
OPENSA_0015_1,-6642.9
OPENSA_0016_1,16896.0
OPENSA_0017_1,9851.64
OPENSA_0018_1,7400.54
OPENSA_0019_1,12911.07
OPENSA_0020_1,6483.48
OPENSA_0021_1,6096.76
OPENSA_0022_1,27954.0
OPENSA_0023_1,36251.7
OPENSA_0024_1,11268.0
OPENSA_0025_1,50134.5
OPENSA_0026_1,18595.2
OPENSA_0027_1,11461.5
OPENSA_0028_1,95235.98
OPENSA_0029_1,112500.0
OPENSA_0030_1,180000.0
OPENSA_0031_1,18312.1
OPENSA_0032_1,18654.8
OPENSA_0033_1,21825.0
OPENSA_0034_1,32881.5
OPENSA_0035_1,3199653.0
OPENSA_0036_1,2976242.0
OPENSA_0037_1,9596392.0
OPENSA_0038_1,9669272.0
OPENSA_0039_1,2963403.0
OPENSA_0040_1,2978772.0
OPENSA_0041_1,6089561.0
OPENSA_0042_1,10554919.0
OPENSA_0043_1,3146793.0
OPENSA_0044_1,9349475.0
OPENSA_0045_1,9732899.0
OPENSA_0046_1,13110087.0
OPENSA_0047_1,6200818.0
OPENSA_0048_1,1168400.0
OPENSA_0049_1,286258.0
OPENSA_0050_1,245364.0
OPENSA_0051_1,3285033.0
OPENSA_0052_1,2694635.0
OPENSA_0053_1,157734.0
OPENSA_0054_1,240831.3
OPENSA_0055_1,265253.04
OPENSA_0056_1,289210.85
OPENSA_0057_1,3057754.0
OPENSA_0058_1,6121781.0
OPENSA_0059_1,-3021076.0
OPENSA_0060_1,3052877.0
OPENSA_0061_1,8736787.0
OPENSA_0062_1,2906573.0
OPENSA_0063_1,6213043.0
OPENSA_0064_1,3093466.0
OPENSA_0065_1,5971642.0
OPENSA_0066_1,1078421.0
OPENSA_0067_1,2880995.0
OPENSA_0068_1,919453.0
OPENSA_0069_1,14908378.0
OPENSA_0070_1,492455.0
OPENSA_0071_1,5639783.0
OPENSA_0072_1,12016435.0
OPENSA_0073_1,7795717.0
OPENSA_0074_1,7772616.0
OPENSA_0075_1,3111398.0
OPENSA_0076_1,2779151.0
OPENSA_0077_1,2624999.0
OPENSA_0078_1,1092987.0
OPENSA_0079_1,4828129.0
OPENSA_0080_1,5136286.0
OPENSA_0081_1,1222126.0
OPENSA_0082_1,3104083.0
OPENSA_0083_1,2241690.0
OPENSA_0084_1,1577150.0
OPENSA_0085_1,2365718.0
OPENSA_0086_1,507492.0
OPENSA_0087_1,146050.0
OPENSA_0088_1,146050.0
OPENSA_0089_1,169418.0
OPENSA_0090_1,146050.0
OPENSA_0091_1,890693.8
OPENSA_0092_1,-279310.98
OPENSA_0093_1,-110030.44
OPENSA_0094_1,-108593.44
OPENSA_0095_1,1067156.55
OPENSA_0096_1,-162428.87
OPENSA_0097_1,1067380.89
OPENSA_0098_1,945307.21
OPENSA_0099_1,995360.04
OPENSA_0100_1,-267544.46
OPENSA_0101_1,-109771.56
OPENSA_0102_1,-115583.82
OPENSA_0103_1,3013488.0
OPENSA_0104_1,9097314.0
OPENSA_0105_1,9375022.0
OPENSA_0106_1,10016947.0
OPENSA_0107_1,3018408.0
OPENSA_0108_1,9789693.0
OPENSA_0109_1,3106967.0
OPENSA_0110_1,9858248.0
OPENSA_0111_1,22541657.0
OPENSA_0112_1,15811877.0
OPENSA_0113_1,9771278.0
OPENSA_0114_1,6287734.0
OPENSA_0115_1,876300.0
OPENSA_0116_1,286258.0
OPENSA_0117_1,-170959.44
OPENSA_0118_1,895180.07
OPENSA_0119_1,912787.75
OPENSA_0120_1,794047.14
OPENSA_0121_1,-105461.27
OPENSA_0122_1,7428078.0
OPENSA_0123_1,7330491.0
OPENSA_0124_1,10184384.0
OPENSA_0125_1,9973056.0
OPENSA_0126_1,584200.0
OPENSA_0127_1,140208.0
OPENSA_0128_1,9511665.0
OPENSA_0129_1,6472809.0
OPENSA_0130_1,10445359.0
OPENSA_0131_1,10286970.0
OPENSA_0132_1,2849944.0
OPENSA_0133_1,6387465.0
OPENSA_0134_1,3063748.0
OPENSA_0135_1,3096641.0
OPENSA_0136_1,3007360.0
OPENSA_0137_1,6323457.0
OPENSA_0138_1,10303642.0
OPENSA_0139_1,5596509.0
OPENSA_0140_1,5718683.0
OPENSA_0141_1,5652897.0
OPENSA_0142_1,2760663.0
OPENSA_0143_1,5697538.0
OPENSA_0144_1,10653766.0
OPENSA_0145_1,5556568.0
OPENSA_0146_1,2821750.0
OPENSA_0147_1,5723382.0
OPENSA_0148_1,10425029.0
OPENSA_0149_1,1276376.64
OPENSA_0150_1,2484496.0
OPENSA_0151_1,13837487.0
OPENSA_0152_1,2578120.0
OPENSA_0153_1,17260161.0
OPENSA_0154_1,13632246.0
OPENSA_0155_1,2560381.0
OPENSA_0156_1,303784.0
OPENSA_0157_1,340233.0
OPENSA_0158_1,747776.0
OPENSA_0159_1,116840.0
OPENSA_0160_1,3218575.0
OPENSA_0161_1,6334417.0
OPENSA_0162_1,9844049.0
OPENSA_0163_1,6258182.0
OPENSA_0164_1,6290151.0
OPENSA_0165_1,812494.03
OPENSA_0166_1,5702.4
OPENSA_0167_1,4748.0
OPENSA_0168_1,5640.8
OPENSA_0169_1,5385.6
OPENSA_0170_1,501391.28
OPENSA_0171_1,220336.96
OPENSA_0172_1,309374.68
OPENSA_0173_1,206362.16
OPENSA_0174_1,2398395.0
OPENSA_0175_1,1394835.08
OPENSA_0176_1,1394479.25
OPENSA_0177_1,971039.0
OPENSA_0178_1,19094.4
OPENSA_0179_1,23817.0
OPENSA_0180_1,24247.44
